,98,98,97,100,99,97,95,97,99,96,97,99,99,96,97,99,98,97,98,99,98,100,99,98,98,100,98,98,99,98,96,99,98,95,98,100,99,97,96,98,99,99,101,100,100,99,96,98,100,98,98,99,99,97,1
9315,VL53L5CX,96,96,96,97,97,99,98,99,96,98,100,100,98,99,99,98,97,97,96,97,98,98,99,98,96,98,96,99,100,99,97,100,101,99,98,97,98,99,98,98,96,98,98,95,97,99,100,99,95,97,96,100,99,100,100,99,95,98,95,98,97,98,98,96,1
9382,VL53L5CX,96,97,97,96,96,99,96,99,96,97,97,101,99,100,99,99,95,97,98,99,96,98,98,99,99,99,97,98,99,99,99,100,97,98,99,99,97,99,100,98,96,97,96,98,99,100,99,98,97,99,98,99,100,101,100,100,96,97,98,100,97,99,97,97,1
13095,VL53L5CX,97,96,97,97,97,98,97,100,97,95,97,98,98,99,99,99,98,98,97,98,96,98,99,100,97,99,97,101,100,99,97,97,97,99,96,99,100,98,100,98,97,99,99,98,99,98,100,97,96,98,101,99,100,100,100,100,96,98,98,98,97,98,98,97,1
13162,VL53L5CX,97,96,97,96,97,97,95,98,96,97,98,99,98,100,97,98,96,98,99,98,98,99,100,98,99,99,98,98,98,100,100,99,97,98,97,100,98,100,99,100,96,99,98,97,99,98,102,99,97,96,98,101,99,99,101,100,96,96,97,97,97,97,99,96,1
13229,VL53L5CX,98,96,98,96,96,97,96,99,96,97,98,98,96,99,102,98,95,98,99,98,98,98,99,99,98,99,97,97,98,100,96,100,97,99,98,100,98,101,100,98,98,99,98,97,97,97,101,97,98,99,97,101,98,99,101,100,95,97,98,98,99,98,99,98,1
13296,VL53L5CX,97,95,96,97,97,97,96,100,96,97,98,98,97,100,100,99,97,98,100,98,98,99,99,100,96,98,96,98,98,99,101,99,99,99,98,99,99,100,98,97,97,100,95,97,98,99,99,99,96,99,100,102,100,101,100,97,96,97,97,97,97,97,99,97,1
13363,VL53L5CX,97,97,97,96,97,97,96,99,96,96,98,98,97,100,99,99,97,98,98,99,97,99,99,99,98,98,96,99,97,99,100,98,98,99,99,97,98,100,100,100,95,99,99,99,97,99,98,97,95,99,100,99,100,102,101,99,98,98,99,99,98,98,99,98,1
13430,VL53L5CX,97,96,97,96,97,98,96,98,95,97,98,100,98,100,99,97,97,99,98,99,100,100,97,98,97,97,97,98,97,99,99,101,97,98,96,99,98,100,99,100,98,98,97,97,97,101,98,98,98,97,99,99,101,101,101,99,97,98,96,97,98,99,99,100,1
13497,VL53L5CX,98,96,98,96,97,100,98,99,97,98,99,98,97,100,97,98,96,99,99,98,99,99,99,100,97,99,99,99,98,99,98,101,98,99,100,98,98,101,101,99,99,97,96,98,99,99,100,99,98,98,98,101,99,102,100,100,96,96,96,98,97,97,99,98,1
13564,VL53L5CX,97,97,97,97,98,98,97,100,98,98,99,98,97,99,99,98,97,96,98,98,97,99,99,99,98,98,99,101,98,100,99,101,99,99,98,97,98,99,99,100,97,98,96,97,99,99,97,97,97,98,99,100,99,101,99,99,96,96,97,98,96,97,98,97,1
