330732,705,0.5681,1
330792,719,0.5794,1
330852,688,0.5544,1
330912,683,0.5504,1
330972,863,0.6955,1
331032,700,0.5641,1
331092,721,0.5810,1
331152,707,0.5697,1
331212,715,0.5762,1
331272,865,0.6971,1
331332,690,0.5560,1
331392,666,0.5367,1
331452,758,0.6108,1
331512,700,0.5641,1
331572,725,0.5842,1
331632,726,0.5851,1
331692,683,0.5504,1
331752,710,0.5722,1
331812,732,0.5899,1
331872,695,0.5601,1
331932,849,0.6842,1
331992,706,0.5689,1
332052,687,0.5536,1
332112,696,0.5609,1
332172,702,0.5657,1
332232,668,0.5383,1
332292,697,0.5617,1
332352,773,0.6229,1
332412,693,0.5585,1
332472,683,0.5504,1
332532,715,0.5762,1
332592,864,0.6963,1
332652,666,0.5367,1
332712,680,0.5480,1
332772,677,0.5456,1
332832,718,0.5786,1
332892,714,0.5754,1
332952,682,0.5496,1
333012,736,0.5931,1
333072,669,0.5391,1
333132,682,0.5496,1
333192,685,0.5520,1
333252,709,0.5714,1
333312,667,0.5375,1
333372,702,0.5657,1
333432,710,0.5722,1
333492,732,0.5899,1
333552,857,0.6906,1
333612,684,0.5512,1
333672,727,0.5859,1
333732,686,0.5528,1
333792,729,0.5875,1
333852,829,0.6681,1
333912,689,0.5552,1
333972,711,0.5730,1
334032,686,0.5528,1
334092,699,0.5633,1
334152,727,0.5859,1
334212,707,0.5697,1
334272,691,0.5568,1
334332,702,0.5657,1
334392,723,0.5826,1
334452,703,0.5665,1
334512,875,0.7051,1
334572,713,0.5746,1
334632,728,0.5867,1
334692,708,0.5705,1
334752,676,0.5448,1
334812,851,0.6858,1
334872,682,0.5496,1
334932,711,0.5730,1
334992,713,0.5746,1
335052,710,0.5722,1
335112,677,0.5456,1
335172,703,0.5665,1
335232,708,0.5705,1
335292,683,0.5504,1
335352,679,0.5472,1
335412,715,0.5762,1
335472,874,0.7043,1
335532,685,0.5520,1
335592,674,0.5432,1
335652,738,0.5947,1
335712,698,0.5625,1
335772,852,0.6866,1
335832,695,0.5601,1
335892,688,0.5544,1
335952,690,0.5560,1
336012,705,0.5681,1
336072,698,0.5625,1
336132,674,0.5432,1
336192,717,0.5778,1
336252,702,0.5657,1
336312,693,0.5585,1
336372,698,0.5625,1
336432,845,0.6810,1
336492,739,0.5955,1
336552,715,0.5762,1
336612,675,0.5440,1
336672,701,0.5649,1
336732,831,0.6697,1
336792,693,0.5585,1
336852,723,0.5826,1
336912,720,0.5802,1
336972,706,0.5689,1
337032,690,0.5560,1
337092,712,0.5738,1
337152,690,0.5560,1
337212,706,0.5689,1
337272,679,0.5472,1
337332,669,0.5391,1
337392,857,0.6906,1
337452,683,0.5504,1
337512,722,0.5818,1
337572,684,0.5512,1
337632,697,0.5617,1
337692,739,0.5955,1
337752,680,0.5480,1
337812,683,0.5504,1
337872,715,0.5762,1
337932,678,0.5464,1
337992,699,0.5633,1
338052,682,0.5496,1
338112,689,0.5552,1
338172,697,0.5617,1
338232,689,0.5552,1
338292,720,0.5802,1
338352,689,0.5552,1
338412,714,0.5754,1
338472,687,0.5536,1
338532,717,0.5778,1
338592,728,0.5867,1
338652,704,0.5673,1
338712,696,0.5609,1
338772,735,0.5923,1
338832,675,0.5440,1
338892,704,0.5673,1
338952,692,0.5577,1
339012,889,0.7164,1
339072,687,0.5536,1
339132,709,0.5714,1
339192,691,0.5568,1
339252,689,0.5552,1
339312,690,0.5560,1
339372,719,0.5794,1
339432,692,0.5577,1
339492,715,0.5762,1
339552,745,0.6004,1
339612,728,0.5867,1
339672,679,0.5472,1
339732,676,0.5448,1
339792,707,0.5697,1
339852,697,0.5617,1
339912,693,0.5585,1
339972,838,0.6753,1
340032,717,0.5778,1
340092,681,0.5488,1
340152,683,0.5504,1
340212,691,0.5568,1
